1: Среднее ар: 0, медиана: 0, макс: 1, мин: 0, ниж.квант: 0, верх.квант: 0
250: Среднее ар: 64, медиана: 66, макс: 122, мин: 26, ниж.квант: 65, верх.квант: 66
500: Среднее ар: 220, медиана: 222, макс: 315, мин: 88, ниж.квант: 221, верх.квант: 243
750: Среднее ар: 431, медиана: 462, макс: 605, мин: 183, ниж.квант: 461, верх.квант: 463
1000: Среднее ар: 735, медиана: 784, макс: 1043, мин: 310, ниж.квант: 421, верх.квант: 1001
1250: Среднее ар: 1300, медиана: 1298, макс: 1676, мин: 477, ниж.квант: 1201, верх.квант: 1546
1500: Среднее ар: 1668, медиана: 1695, макс: 2333, мин: 669, ниж.квант: 1683, верх.квант: 1742
1750: Среднее ар: 2148, медиана: 2268, макс: 2967, мин: 895, ниж.квант: 2265, верх.квант: 2299
2000: Среднее ар: 2854, медиана: 2912, макс: 4160, мин: 1152, ниж.квант: 2898, верх.квант: 3143
2250: Среднее ар: 3577, медиана: 3656, макс: 4822, мин: 1447, ниж.квант: 3651, верх.квант: 3701
2500: Среднее ар: 4435, медиана: 4494, макс: 5948, мин: 1778, ниж.квант: 4482, верх.квант: 4689
2750: Среднее ар: 5327, медиана: 5408, макс: 8371, мин: 2134, ниж.квант: 5380, верх.квант: 5635
3000: Среднее ар: 6412, медиана: 6393, макс: 8039, мин: 2530, ниж.квант: 6358, верх.квант: 7169
3250: Среднее ар: 7452, медиана: 7465, макс: 10528, мин: 2951, ниж.квант: 7440, верх.квант: 8384
3500: Среднее ар: 8591, медиана: 8595, макс: 12111, мин: 3399, ниж.квант: 8575, верх.квант: 9658
3750: Среднее ар: 9548, медиана: 9791, макс: 11563, мин: 3878, ниж.квант: 9766, верх.квант: 10304
4000: Среднее ар: 11119, медиана: 11127, макс: 14867, мин: 4504, ниж.квант: 11104, верх.квант: 12357
4250: Среднее ар: 12278, медиана: 12509, макс: 16680, мин: 4964, ниж.квант: 12478, верх.квант: 13772
4500: Среднее ар: 13871, медиана: 14035, макс: 18307, мин: 5557, ниж.квант: 13968, верх.квант: 15238
4750: Среднее ар: 15709, медиана: 15804, макс: 21023, мин: 6263, ниж.квант: 15523, верх.квант: 16830
5000: Среднее ар: 17736, медиана: 18233, макс: 22522, мин: 6934, ниж.квант: 17156, верх.квант: 19650
5250: Среднее ар: 20018, медиана: 20135, макс: 29329, мин: 7509, ниж.квант: 18880, верх.квант: 22699
5500: Среднее ар: 20200, медиана: 20714, макс: 27851, мин: 8205, ниж.квант: 20644, верх.квант: 21989
5750: Среднее ар: 21110, медиана: 22582, макс: 28241, мин: 8948, ниж.квант: 22536, верх.квант: 23791
6000: Среднее ар: 22750, медиана: 24759, макс: 31259, мин: 9720, ниж.квант: 24454, верх.квант: 25784
6250: Среднее ар: 26636, медиана: 27777, макс: 33626, мин: 10554, ниж.квант: 26551, верх.квант: 28879
6500: Среднее ар: 28701, медиана: 28918, макс: 35733, мин: 11396, ниж.квант: 28680, верх.квант: 30705
6750: Среднее ар: 30036, медиана: 31161, макс: 40473, мин: 12271, ниж.квант: 30855, верх.квант: 32599
7000: Среднее ар: 30996, медиана: 33553, макс: 52001, мин: 13176, ниж.квант: 33119, верх.квант: 35161
7250: Среднее ар: 31280, медиана: 35654, макс: 45050, мин: 14098, ниж.квант: 21159, верх.квант: 37200
7500: Среднее ар: 31583, медиана: 37970, макс: 46340, мин: 15064, ниж.квант: 22349, верх.квант: 39284
7750: Среднее ар: 26648, медиана: 22468, макс: 48073, мин: 16068, ниж.квант: 16924, верх.квант: 40449
8000: Среднее ар: 27849, медиана: 25653, макс: 49765, мин: 17095, ниж.квант: 19652, верх.квант: 28826
8250: Среднее ар: 25379, медиана: 21552, макс: 61725, мин: 18173, ниж.квант: 18214, верх.квант: 27310
8500: Среднее ар: 25115, медиана: 20365, макс: 53376, мин: 19270, ниж.квант: 19290, верх.квант: 27658
8750: Среднее ар: 27522, медиана: 21820, макс: 52423, мин: 20407, ниж.квант: 20441, верх.квант: 31863
9000: Среднее ар: 32839, медиана: 26570, макс: 59532, мин: 21576, ниж.квант: 22313, верх.квант: 49170
9250: Среднее ар: 28197, медиана: 24080, макс: 54588, мин: 22775, ниж.квант: 22822, верх.квант: 26207
9500: Среднее ар: 31194, медиана: 25512, макс: 59447, мин: 23997, ниж.квант: 24041, верх.квант: 36331
9750: Среднее ар: 34768, медиана: 27009, макс: 60948, мин: 25254, ниж.квант: 25321, верх.квант: 52612
10000: Среднее ар: 35946, медиана: 29134, макс: 58651, мин: 26562, ниж.квант: 27857, верх.квант: 46194
