1: Среднее ар: 0, медиана: 0, макс: 1, мин: 0, ниж.квант: 0, верх.квант: 0
250: Среднее ар: 60, медиана: 66, макс: 148, мин: 26, ниж.квант: 65, верх.квант: 66
500: Среднее ар: 217, медиана: 219, макс: 360, мин: 87, ниж.квант: 219, верх.квант: 220
750: Среднее ар: 454, медиана: 458, макс: 820, мин: 189, ниж.квант: 457, верх.квант: 459
1000: Среднее ар: 573, медиана: 768, макс: 869, мин: 307, ниж.квант: 308, верх.квант: 773
1250: Среднее ар: 1087, медиана: 1185, макс: 1420, мин: 471, ниж.квант: 1185, верх.квант: 1197
1500: Среднее ар: 1531, медиана: 1663, макс: 2111, мин: 661, ниж.квант: 1662, верх.квант: 1678
1750: Среднее ар: 2059, медиана: 2242, макс: 2910, мин: 886, ниж.квант: 2230, верх.квант: 2246
2000: Среднее ар: 2609, медиана: 2883, макс: 3485, мин: 1141, ниж.квант: 2869, верх.квант: 2889
2250: Среднее ар: 3323, медиана: 3618, макс: 4342, мин: 1433, ниж.квант: 3615, верх.квант: 3638
2500: Среднее ар: 4019, медиана: 4443, макс: 4651, мин: 1760, ниж.квант: 4436, верх.квант: 4471
2750: Среднее ар: 5099, медиана: 5339, макс: 6513, мин: 2121, ниж.квант: 5329, верх.квант: 5367
3000: Среднее ар: 5899, медиана: 6316, макс: 6756, мин: 2502, ниж.квант: 6303, верх.квант: 6340
3250: Среднее ар: 6942, медиана: 7386, макс: 9021, мин: 2930, ниж.квант: 7364, верх.квант: 7405
3500: Среднее ар: 8048, медиана: 8520, макс: 13028, мин: 3380, ниж.квант: 8500, верх.квант: 8535
3750: Среднее ар: 8845, медиана: 9705, макс: 11550, мин: 3843, ниж.квант: 9686, верх.квант: 9725
4000: Среднее ар: 10022, медиана: 11041, макс: 13343, мин: 4373, ниж.квант: 11018, верх.квант: 11079
4250: Среднее ар: 11633, медиана: 12451, макс: 16344, мин: 4916, ниж.квант: 12403, верх.квант: 12475
4500: Среднее ар: 13263, медиана: 13908, макс: 17180, мин: 5500, ниж.квант: 13865, верх.квант: 13950
4750: Среднее ар: 15172, медиана: 15431, макс: 21682, мин: 6123, ниж.квант: 15411, верх.квант: 15479
5000: Среднее ар: 16582, медиана: 17044, макс: 23790, мин: 6765, ниж.квант: 17028, верх.квант: 17077
5250: Среднее ар: 18673, медиана: 18781, макс: 23761, мин: 7440, ниж.квант: 18754, верх.квант: 18812
5500: Среднее ар: 20833, медиана: 20620, макс: 26433, мин: 8691, ниж.квант: 20559, верх.квант: 20762
5750: Среднее ар: 21990, медиана: 22505, макс: 27355, мин: 8969, ниж.квант: 22465, верх.квант: 22550
6000: Среднее ар: 23161, медиана: 24441, макс: 28978, мин: 9687, ниж.квант: 24396, верх.квант: 24495
6250: Среднее ар: 26672, медиана: 26454, макс: 33325, мин: 11046, ниж.квант: 26397, верх.квант: 26525
6500: Среднее ар: 28173, медиана: 28556, макс: 49581, мин: 11337, ниж.квант: 28519, верх.квант: 28663
6750: Среднее ар: 28913, медиана: 30796, макс: 37851, мин: 12768, ниж.квант: 30704, верх.квант: 30858
7000: Среднее ар: 30814, медиана: 33036, макс: 39028, мин: 13103, ниж.квант: 32967, верх.квант: 33188
7250: Среднее ар: 33665, медиана: 35390, макс: 44524, мин: 14035, ниж.квант: 35331, верх.квант: 35486
7500: Среднее ар: 35469, медиана: 37815, макс: 43855, мин: 15032, ниж.квант: 37756, верх.квант: 37947
7750: Среднее ар: 28863, медиана: 22395, макс: 47195, мин: 15990, ниж.квант: 16031, верх.квант: 40401
8000: Среднее ар: 25711, медиана: 23735, макс: 47833, мин: 17016, ниж.квант: 17051, верх.квант: 26311
8250: Среднее ар: 26812, медиана: 25210, макс: 49620, мин: 18082, ниж.квант: 18125, верх.квант: 26704
8500: Среднее ар: 24350, медиана: 19212, макс: 50226, мин: 19180, ниж.квант: 19197, верх.квант: 19616
8750: Среднее ар: 27029, медиана: 21603, макс: 52138, мин: 20314, ниж.квант: 20332, верх.квант: 28364
9000: Среднее ар: 30418, медиана: 22055, макс: 53261, мин: 21479, ниж.квант: 21515, верх.квант: 46360
9250: Среднее ар: 31501, медиана: 22739, макс: 60518, мин: 22676, ниж.квант: 22696, верх.квант: 49315
9500: Среднее ар: 34198, медиана: 23958, макс: 60770, мин: 23907, ниж.квант: 23918, верх.квант: 51658
9750: Среднее ар: 37020, медиана: 35086, макс: 56288, мин: 25153, ниж.квант: 25197, верх.квант: 41096
10000: Среднее ар: 29498, медиана: 26477, макс: 63016, мин: 26456, ниж.квант: 26468, верх.квант: 26523
