1: Среднее ар: 0, медиана: 0, макс: 1, мин: 0, ниж.квант: 0, верх.квант: 0
250: Среднее ар: 153, медиана: 193, макс: 200, мин: 10, ниж.квант: 172, верх.квант: 194
500: Среднее ар: 335, медиана: 275, макс: 750, мин: 265, ниж.квант: 274, верх.квант: 284
750: Среднее ар: 851, медиана: 612, макс: 1579, мин: 590, ниж.квант: 591, верх.квант: 1408
1000: Среднее ар: 1393, медиана: 1077, макс: 3154, мин: 1043, ниж.квант: 1044, верх.квант: 1163
1250: Среднее ар: 2447, медиана: 1745, макс: 4483, мин: 1624, ниж.квант: 1686, верх.квант: 4080
1500: Среднее ар: 3925, медиана: 2553, макс: 6357, мин: 2335, ниж.квант: 2419, верх.квант: 5890
1750: Среднее ар: 4507, медиана: 3304, макс: 9020, мин: 3179, ниж.квант: 3240, верх.квант: 7951
2000: Среднее ар: 6931, медиана: 4335, макс: 12719, мин: 4147, ниж.квант: 4261, верх.квант: 10539
2250: Среднее ар: 9343, медиана: 5846, макс: 16100, мин: 5239, ниж.квант: 5372, верх.квант: 13518
2500: Среднее ар: 10545, медиана: 6771, макс: 19350, мин: 6487, ниж.квант: 6607, верх.квант: 16414
2750: Среднее ар: 12676, медиана: 8246, макс: 24259, мин: 7823, ниж.квант: 7984, верх.квант: 19730
3000: Среднее ар: 16403, медиана: 9691, макс: 28676, мин: 9309, ниж.квант: 9450, верх.квант: 24639
3250: Среднее ар: 17167, медиана: 11293, макс: 32773, мин: 10925, ниж.квант: 11105, верх.квант: 27594
3500: Среднее ар: 22540, медиана: 15486, макс: 37614, мин: 12649, ниж.квант: 12949, верх.квант: 32033
3750: Среднее ар: 22375, медиана: 15180, макс: 44555, мин: 14528, ниж.квант: 14825, верх.квант: 36061
4000: Среднее ар: 24584, медиана: 16986, макс: 47508, мин: 16508, ниж.квант: 16731, верх.квант: 39373
4250: Среднее ар: 22704, медиана: 18978, макс: 48996, мин: 18640, ниж.квант: 18827, верх.квант: 19641
4500: Среднее ар: 25733, медиана: 21290, макс: 51772, мин: 20886, ниж.квант: 21156, верх.квант: 21550
4750: Среднее ар: 26306, медиана: 23591, макс: 54632, мин: 23259, ниж.квант: 23473, верх.квант: 23769
5000: Среднее ар: 31535, медиана: 26439, макс: 55846, мин: 25777, ниж.квант: 26093, верх.квант: 27401
5250: Среднее ар: 34457, медиана: 30005, макс: 59239, мин: 28428, ниж.квант: 29111, верх.квант: 32502
5500: Среднее ар: 38290, медиана: 32230, макс: 61906, мин: 31176, ниж.квант: 31826, верх.квант: 47216
5750: Среднее ар: 39575, медиана: 34669, макс: 64821, мин: 34089, ниж.квант: 34375, верх.квант: 35694
6000: Среднее ар: 44771, медиана: 38125, макс: 67723, мин: 37098, ниж.квант: 37687, верх.квант: 48718
6250: Среднее ар: 48064, медиана: 41775, макс: 72008, мин: 40250, ниж.квант: 41001, верх.квант: 57529
6500: Среднее ар: 51053, медиана: 45233, макс: 75924, мин: 43535, ниж.квант: 44306, верх.квант: 54900
6750: Среднее ар: 53295, медиана: 48230, макс: 78331, мин: 46958, ниж.квант: 47768, верх.квант: 51298
7000: Среднее ар: 57072, медиана: 52171, макс: 81392, мин: 50479, ниж.квант: 51267, верх.квант: 55651
7250: Среднее ар: 58758, медиана: 55163, макс: 85616, мин: 54175, ниж.квант: 54646, верх.квант: 55801
7500: Среднее ар: 63753, медиана: 59191, макс: 89573, мин: 58003, ниж.квант: 58579, верх.квант: 60677
7750: Среднее ар: 71857, медиана: 64354, макс: 92551, мин: 61928, ниж.квант: 63229, верх.квант: 85195
8000: Среднее ар: 73521, медиана: 67868, макс: 100166, мин: 65955, ниж.квант: 67034, верх.квант: 71434
8250: Среднее ар: 78717, медиана: 72672, макс: 103347, мин: 70082, ниж.квант: 71372, верх.квант: 83608
8500: Среднее ар: 82799, медиана: 77113, макс: 105335, мин: 74395, ниж.квант: 75958, верх.квант: 93370
8750: Среднее ар: 88025, медиана: 81559, макс: 111530, мин: 78861, ниж.квант: 80137, верх.квант: 102618
9000: Среднее ар: 90140, медиана: 84919, макс: 130589, мин: 83412, ниж.квант: 84402, верх.квант: 87355
9250: Среднее ар: 96680, медиана: 90462, макс: 130980, мин: 88079, ниж.квант: 89591, верх.квант: 104347
9500: Среднее ар: 99701, медиана: 94866, макс: 123556, мин: 92935, ниж.квант: 94023, верх.квант: 97216
9750: Среднее ар: 108128, медиана: 102200, макс: 136831, мин: 97887, ниж.квант: 99665, верх.квант: 121359
10000: Среднее ар: 114078, медиана: 106798, макс: 139053, мин: 102980, ниж.квант: 105150, верх.квант: 128562
