1: Среднее ар: 0, медиана: 0, макс: 1, мин: 0, ниж.квант: 0, верх.квант: 0
250: Среднее ар: 53, медиана: 53, макс: 80, мин: 18, ниж.квант: 53, верх.квант: 64
500: Среднее ар: 166, медиана: 172, макс: 271, мин: 68, ниж.квант: 171, верх.квант: 187
750: Среднее ар: 378, медиана: 377, макс: 538, мин: 149, ниж.квант: 376, верх.квант: 393
1000: Среднее ар: 295, медиана: 264, макс: 779, мин: 263, ниж.квант: 263, верх.квант: 270
1250: Среднее ар: 446, медиана: 415, макс: 1159, мин: 409, ниж.квант: 409, верх.квант: 418
1500: Среднее ар: 660, медиана: 593, макс: 1753, мин: 586, ниж.квант: 587, верх.квант: 600
1750: Среднее ар: 923, медиана: 803, макс: 2725, мин: 796, ниж.квант: 797, верх.квант: 819
2000: Среднее ар: 1959, медиана: 1449, макс: 3696, мин: 1038, ниж.квант: 1045, верх.квант: 2984
2250: Среднее ар: 3458, медиана: 3762, макс: 5120, мин: 1313, ниж.квант: 3733, верх.квант: 3787
2500: Среднее ар: 4555, медиана: 4633, макс: 34245, мин: 1619, ниж.квант: 4597, верх.квант: 4655
2750: Среднее ар: 4771, медиана: 4974, макс: 8070, мин: 1965, ниж.квант: 4953, верх.квант: 5029
3000: Среднее ар: 5840, медиана: 5894, макс: 37027, мин: 2328, ниж.квант: 5870, верх.квант: 5938
3250: Среднее ар: 6586, медиана: 6936, макс: 8425, мин: 2731, ниж.квант: 6894, верх.квант: 6978
3500: Среднее ар: 7473, медиана: 8040, макс: 9964, мин: 3165, ниж.квант: 7988, верх.квант: 8089
3750: Среднее ар: 8589, медиана: 9185, макс: 10905, мин: 3662, ниж.квант: 9161, верх.квант: 9237
4000: Среднее ар: 10095, медиана: 10445, макс: 18641, мин: 4207, ниж.квант: 10418, верх.квант: 10510
4250: Среднее ар: 11295, медиана: 11828, макс: 20504, мин: 4917, ниж.квант: 11774, верх.квант: 11881
4500: Среднее ар: 12766, медиана: 13289, макс: 21812, мин: 5259, ниж.квант: 13235, верх.квант: 13418
4750: Среднее ар: 13923, медиана: 14782, макс: 20558, мин: 5890, ниж.квант: 14698, верх.квант: 15215
5000: Среднее ар: 14944, медиана: 16283, макс: 19201, мин: 6515, ниж.квант: 16252, верх.квант: 16337
5250: Среднее ар: 16943, медиана: 17949, макс: 28922, мин: 7177, ниж.квант: 17917, верх.квант: 18050
5500: Среднее ар: 14802, медиана: 19651, макс: 25665, мин: 7809, ниж.квант: 7855, верх.квант: 19841
5750: Среднее ар: 20240, медиана: 21528, макс: 28525, мин: 8572, ниж.квант: 21492, верх.квант: 21668
6000: Среднее ар: 21733, медиана: 23422, макс: 27419, мин: 9371, ниж.квант: 23395, верх.квант: 23757
6250: Среднее ар: 24282, медиана: 25499, макс: 44171, мин: 10250, ниж.квант: 25382, верх.квант: 25596
6500: Среднее ар: 24846, медиана: 27516, макс: 42230, мин: 11135, ниж.квант: 17799, верх.квант: 28841
6750: Среднее ар: 27660, медиана: 29658, макс: 35839, мин: 11750, ниж.квант: 29601, верх.квант: 30046
7000: Среднее ар: 26242, медиана: 31856, макс: 38930, мин: 12782, ниж.квант: 17699, верх.квант: 32966
7250: Среднее ар: 30767, медиана: 34167, макс: 43959, мин: 13557, ниж.квант: 34101, верх.квант: 34501
7500: Среднее ар: 32944, медиана: 36735, макс: 55407, мин: 14549, ниж.квант: 30258, верх.квант: 37094
7750: Среднее ар: 34370, медиана: 39170, макс: 45876, мин: 15542, ниж.квант: 23052, верх.квант: 39511
8000: Среднее ар: 23220, медиана: 17496, макс: 47516, мин: 16493, ниж.квант: 16557, верх.квант: 24369
8250: Среднее ар: 26432, медиана: 18472, макс: 51177, мин: 17541, ниж.квант: 17562, верх.квант: 43188
8500: Среднее ар: 26737, медиана: 19640, макс: 49741, мин: 18621, ниж.квант: 18663, верх.квант: 28073
8750: Среднее ар: 28264, медиана: 20574, макс: 52610, мин: 19724, ниж.квант: 19781, верх.квант: 35795
9000: Среднее ар: 28190, медиана: 21723, макс: 52106, мин: 20872, ниж.квант: 20939, верх.квант: 30509
9250: Среднее ар: 32629, медиана: 23428, макс: 53646, мин: 22047, ниж.квант: 22073, верх.квант: 49747
9500: Среднее ар: 32785, медиана: 24102, макс: 54136, мин: 23254, ниж.квант: 23332, верх.квант: 51536
9750: Среднее ар: 30010, медиана: 24668, макс: 59539, мин: 24491, ниж.квант: 24527, верх.квант: 27578
10000: Среднее ар: 31707, медиана: 25920, макс: 62195, мин: 25765, ниж.квант: 25842, верх.квант: 34011
