1: Среднее ар: 0, медиана: 0, макс: 1, мин: 0, ниж.квант: 0, верх.квант: 1
250: Среднее ар: 164, медиана: 172, макс: 301, мин: 68, ниж.квант: 172, верх.квант: 172
500: Среднее ар: 630, медиана: 664, макс: 775, мин: 265, ниж.квант: 663, верх.квант: 668
750: Среднее ар: 1380, медиана: 1486, макс: 1686, мин: 590, ниж.квант: 1477, верх.квант: 1487
1000: Среднее ар: 1209, медиана: 1045, макс: 3079, мин: 1042, ниж.квант: 1044, верх.квант: 1073
1250: Среднее ар: 3220, медиана: 4086, макс: 4756, мин: 1624, ниж.квант: 1639, верх.квант: 4105
1500: Среднее ар: 5817, медиана: 5899, макс: 6765, мин: 2346, ниж.квант: 5889, верх.квант: 5929
1750: Среднее ар: 7769, медиана: 8025, макс: 9130, мин: 3207, ниж.квант: 8004, верх.квант: 8063
2000: Среднее ар: 10011, медиана: 10464, макс: 12119, мин: 4193, ниж.квант: 10443, верх.квант: 10475
2250: Среднее ар: 12429, медиана: 13215, макс: 15036, мин: 5281, ниж.квант: 13200, верх.квант: 13227
2500: Среднее ар: 14946, медиана: 16301, макс: 18362, мин: 6476, ниж.квант: 16287, верх.квант: 16312
2750: Среднее ар: 18239, медиана: 19712, макс: 22281, мин: 7836, ниж.квант: 19696, верх.квант: 19725
3000: Среднее ар: 21753, медиана: 23450, макс: 26590, мин: 9338, ниж.квант: 23431, верх.квант: 23469
3250: Среднее ар: 25267, медиана: 27499, макс: 30959, мин: 10952, ниж.квант: 27483, верх.квант: 27519
3500: Среднее ар: 29465, медиана: 31869, макс: 38845, мин: 12700, ниж.квант: 31853, верх.квант: 31890
3750: Среднее ар: 33368, медиана: 36572, макс: 48271, мин: 14515, ниж.квант: 36552, верх.квант: 36599
4000: Среднее ар: 22118, медиана: 23014, макс: 47458, мин: 16508, ниж.квант: 16555, верх.квант: 23034
4250: Среднее ар: 22305, медиана: 18651, макс: 49764, мин: 18628, ниж.квант: 18645, верх.квант: 18784
4500: Среднее ар: 22753, медиана: 20905, макс: 51315, мин: 20890, ниж.квант: 20898, верх.квант: 20928
4750: Среднее ар: 25744, медиана: 23282, макс: 54443, мин: 23259, ниж.квант: 23277, верх.квант: 23310
5000: Среднее ар: 28132, медиана: 25796, макс: 55929, мин: 25769, ниж.квант: 25788, верх.квант: 25833
5250: Среднее ар: 35682, медиана: 28456, макс: 59921, мин: 28416, ниж.квант: 28426, верх.квант: 42610
5500: Среднее ар: 40260, медиана: 31239, макс: 63085, мин: 31168, ниж.квант: 31189, верх.квант: 58688
5750: Среднее ар: 47352, медиана: 36977, макс: 65688, мин: 34063, ниж.квант: 34109, верх.квант: 62064
6000: Среднее ар: 41133, медиана: 37131, макс: 67156, мин: 37092, ниж.квант: 37111, верх.квант: 37850
6250: Среднее ар: 43939, медиана: 40274, макс: 72078, мин: 40249, ниж.квант: 40261, верх.квант: 40924
6500: Среднее ар: 46503, медиана: 43555, макс: 74389, мин: 43522, ниж.квант: 43539, верх.квант: 43800
6750: Среднее ар: 51350, медиана: 46975, макс: 78344, мин: 46937, ниж.квант: 46957, верх.квант: 47551
7000: Среднее ар: 53354, медиана: 50505, макс: 80131, мин: 50462, ниж.квант: 50486, верх.квант: 50835
7250: Среднее ар: 57218, медиана: 54181, макс: 84301, мин: 54137, ниж.квант: 54156, верх.квант: 54401
7500: Среднее ар: 61526, медиана: 57998, макс: 98769, мин: 57930, ниж.квант: 57978, верх.квант: 58453
7750: Среднее ар: 67139, медиана: 61889, макс: 93303, мин: 61850, ниж.квант: 61870, верх.квант: 63169
8000: Среднее ар: 87439, медиана: 93295, макс: 113408, мин: 65928, ниж.квант: 85416, верх.квант: 93658
8250: Среднее ар: 85375, медиана: 97321, макс: 100804, мин: 70076, ниж.квант: 70143, верх.квант: 97909
8500: Среднее ар: 82870, медиана: 74447, макс: 114013, мин: 74379, ниж.квант: 74403, верх.квант: 101541
8750: Среднее ар: 95704, медиана: 106152, макс: 111451, мин: 78805, ниж.квант: 79047, верх.квант: 107915
9000: Среднее ар: 100982, медиана: 110383, макс: 120822, мин: 83390, ниж.квант: 84061, верх.квант: 112144
9250: Среднее ар: 110058, медиана: 116506, макс: 120220, мин: 88063, ниж.квант: 103681, верх.квант: 117206
9500: Среднее ар: 114830, медиана: 121065, макс: 124014, мин: 92874, ниж.квант: 115440, верх.квант: 121401
9750: Среднее ар: 113224, медиана: 122651, макс: 129625, мин: 97836, ниж.квант: 97949, верх.квант: 125752
10000: Среднее ар: 119956, медиана: 128097, макс: 141062, мин: 102898, ниж.квант: 104431, верх.квант: 131086
