1: Среднее ар: 0, медиана: 0, макс: 4, мин: 0, ниж.квант: 0, верх.квант: 0
250: Среднее ар: 109, медиана: 80, макс: 261, мин: 76, ниж.квант: 77, верх.квант: 111
500: Среднее ар: 459, медиана: 296, макс: 845, мин: 285, ниж.квант: 286, верх.квант: 713
750: Среднее ар: 1244, медиана: 1560, макс: 2182, мин: 623, ниж.квант: 647, верх.квант: 1594
1000: Среднее ар: 1830, медиана: 1168, макс: 3358, мин: 1087, ниж.квант: 1100, верх.квант: 2737
1250: Среднее ар: 2393, медиана: 1755, макс: 4838, мин: 1686, ниж.квант: 1709, верх.квант: 2548
1500: Среднее ар: 4442, медиана: 3362, макс: 7435, мин: 2407, ниж.квант: 2418, верх.квант: 6828
1750: Среднее ар: 6083, медиана: 4935, макс: 10037, мин: 3260, ниж.квант: 3289, верх.квант: 9256
2000: Среднее ар: 7897, медиана: 6623, макс: 13364, мин: 4244, ниж.квант: 4400, верх.квант: 11279
2250: Среднее ар: 11943, медиана: 13769, макс: 16957, мин: 5356, ниж.квант: 7457, верх.квант: 15434
2500: Среднее ар: 12373, медиана: 9370, макс: 20553, мин: 6599, ниж.квант: 6870, верх.квант: 18722
2750: Среднее ар: 13403, медиана: 8469, макс: 24430, мин: 7984, ниж.квант: 8250, верх.квант: 20343
3000: Среднее ар: 17709, медиана: 17196, макс: 29000, мин: 9489, ниж.квант: 9799, верх.квант: 25331
3250: Среднее ар: 18112, медиана: 11515, макс: 33885, мин: 11144, ниж.квант: 11315, верх.квант: 28002
3500: Среднее ар: 19171, медиана: 13530, макс: 40319, мин: 12856, ниж.квант: 13166, верх.квант: 24751
3750: Среднее ар: 23371, медиана: 17907, макс: 45437, мин: 14724, ниж.квант: 14987, верх.квант: 35756
4000: Среднее ар: 23427, медиана: 17078, макс: 47762, мин: 16735, ниж.квант: 16765, верх.квант: 26032
4250: Среднее ар: 22772, медиана: 19973, макс: 49985, мин: 18861, ниж.квант: 19222, верх.квант: 20492
4500: Среднее ар: 27491, медиана: 21794, макс: 52088, мин: 21135, ниж.квант: 21358, верх.квант: 23036
4750: Среднее ар: 31160, медиана: 24019, макс: 53760, мин: 23526, ниж.квант: 23619, верх.квант: 36216
5000: Среднее ар: 32695, медиана: 26288, макс: 58097, мин: 26058, ниж.квант: 26122, верх.квант: 35550
5250: Среднее ар: 33207, медиана: 28983, макс: 59623, мин: 28713, ниж.квант: 28839, верх.квант: 29454
5500: Среднее ар: 38914, медиана: 32001, макс: 61691, мин: 31500, ниж.квант: 31563, верх.квант: 50115
5750: Среднее ар: 41505, медиана: 34978, макс: 65577, мин: 34412, ниж.квант: 34526, верх.квант: 45949
6000: Среднее ар: 42131, медиана: 37594, макс: 70876, мин: 37432, ниж.квант: 37499, верх.квант: 38354
6250: Среднее ар: 45286, медиана: 40829, макс: 70766, мин: 40602, ниж.квант: 40694, верх.квант: 41565
6500: Среднее ар: 48213, медиана: 44268, макс: 74795, мин: 43921, ниж.квант: 44052, верх.квант: 44598
6750: Среднее ар: 53774, медиана: 48577, макс: 78286, мин: 47330, ниж.квант: 47610, верх.квант: 52569
7000: Среднее ар: 57412, медиана: 51918, макс: 82042, мин: 50886, ниж.квант: 51226, верх.квант: 56987
7250: Среднее ар: 63362, медиана: 56281, макс: 97990, мин: 54587, ниж.квант: 55051, верх.квант: 74139
7500: Среднее ар: 63597, медиана: 58713, макс: 94049, мин: 58396, ниж.квант: 58483, верх.квант: 60961
7750: Среднее ар: 69227, медиана: 63415, макс: 96265, мин: 62320, ниж.квант: 62700, верх.квант: 71223
8000: Среднее ар: 75265, медиана: 67894, макс: 99203, мин: 66384, ниж.квант: 66880, верх.квант: 85572
8250: Среднее ар: 81029, медиана: 72984, макс: 102456, мин: 70572, ниж.квант: 71821, верх.квант: 95299
8500: Среднее ар: 79899, медиана: 75935, макс: 105240, мин: 74902, ниж.квант: 75524, верх.квант: 77017
8750: Среднее ар: 86841, медиана: 79911, макс: 110163, мин: 79382, ниж.квант: 79722, верх.квант: 95292
9000: Среднее ар: 90014, медиана: 84581, макс: 117900, мин: 83965, ниж.квант: 84397, верх.квант: 87248
9250: Среднее ар: 97450, медиана: 91226, макс: 137049, мин: 88684, ниж.квант: 89268, верх.квант: 104302
9500: Среднее ар: 100994, медиана: 94264, макс: 142486, мин: 93486, ниж.квант: 93870, верх.квант: 104683
9750: Среднее ар: 101627, медиана: 98550, макс: 128634, мин: 98438, ниж.квант: 98489, верх.квант: 98911
10000: Среднее ар: 112820, медиана: 106277, макс: 146838, мин: 103827, ниж.квант: 105368, верх.квант: 125408
