1: Среднее ар: 0, медиана: 0, макс: 1, мин: 0, ниж.квант: 0, верх.квант: 0
250: Среднее ар: 62, медиана: 65, макс: 181, мин: 25, ниж.квант: 65, верх.квант: 66
500: Среднее ар: 214, медиана: 222, макс: 284, мин: 88, ниж.квант: 221, верх.квант: 237
750: Среднее ар: 202, медиана: 184, макс: 534, мин: 183, ниж.квант: 184, верх.квант: 185
1000: Среднее ар: 690, медиана: 783, макс: 1058, мин: 310, ниж.квант: 442, верх.квант: 800
1250: Среднее ар: 1230, медиана: 1203, макс: 1651, мин: 478, ниж.квант: 1201, верх.квант: 1354
1500: Среднее ар: 1563, медиана: 1695, макс: 2280, мин: 668, ниж.квант: 1682, верх.квант: 1741
1750: Среднее ар: 2054, медиана: 2257, макс: 2946, мин: 895, ниж.квант: 2253, верх.квант: 2271
2000: Среднее ар: 2869, медиана: 2920, макс: 4041, мин: 1151, ниж.квант: 2900, верх.квант: 3122
2250: Среднее ар: 3383, медиана: 3654, макс: 5032, мин: 1446, ниж.квант: 3644, верх.квант: 3674
2500: Среднее ар: 4376, медиана: 4503, макс: 6034, мин: 1778, ниж.квант: 4482, верх.квант: 4764
2750: Среднее ар: 5193, медиана: 5393, макс: 6913, мин: 2134, ниж.квант: 5382, верх.квант: 5430
3000: Среднее ар: 6116, медиана: 6381, макс: 8862, мин: 2546, ниж.квант: 6358, верх.квант: 6414
3250: Среднее ар: 7368, медиана: 7459, макс: 11220, мин: 2964, ниж.квант: 7440, верх.квант: 7856
3500: Среднее ар: 8421, медиана: 8597, макс: 11452, мин: 3428, ниж.квант: 8575, верх.квант: 8937
3750: Среднее ар: 9586, медиана: 9800, макс: 12552, мин: 3908, ниж.квант: 9768, верх.квант: 9897
4000: Среднее ар: 10943, медиана: 11127, макс: 23548, мин: 4408, ниж.квант: 11098, верх.квант: 12339
4250: Среднее ар: 11895, медиана: 12527, макс: 16667, мин: 4996, ниж.квант: 12483, верх.квант: 12859
4500: Среднее ар: 13478, медиана: 13988, макс: 25065, мин: 5544, ниж.квант: 13965, верх.квант: 14312
4750: Среднее ар: 14688, медиана: 15538, макс: 20594, мин: 6359, ниж.квант: 15509, верх.квант: 16039
5000: Среднее ар: 16666, медиана: 17183, макс: 24435, мин: 6809, ниж.квант: 17136, верх.квант: 18399
5250: Среднее ар: 17672, медиана: 18948, макс: 29030, мин: 7495, ниж.квант: 18855, верх.квант: 20124
5500: Среднее ар: 19282, медиана: 20750, макс: 24758, мин: 8205, ниж.квант: 20641, верх.квант: 21589
5750: Среднее ар: 20942, медиана: 22592, макс: 29834, мин: 8954, ниж.квант: 22540, верх.квант: 23067
6000: Среднее ар: 23264, медиана: 24567, макс: 29672, мин: 9854, ниж.квант: 24462, верх.квант: 25737
6250: Среднее ар: 25773, медиана: 26738, макс: 34336, мин: 11094, ниж.квант: 26606, верх.квант: 27938
6500: Среднее ар: 27592, медиана: 28900, макс: 35043, мин: 11416, ниж.квант: 28679, верх.квант: 30035
6750: Среднее ар: 30544, медиана: 31852, макс: 39585, мин: 12256, ниж.квант: 30862, верх.квант: 33136
7000: Среднее ар: 31275, медиана: 33346, макс: 40148, мин: 13288, ниж.квант: 33134, верх.квант: 34553
7250: Среднее ар: 30917, медиана: 35528, макс: 43187, мин: 14112, ниж.квант: 21721, верх.квант: 36806
7500: Среднее ар: 21569, медиана: 16427, макс: 51362, мин: 15080, ниж.квант: 15113, верх.квант: 22853
7750: Среднее ар: 23281, медиана: 17412, макс: 47234, мин: 16068, ниж.квант: 16171, верх.квант: 23938
8000: Среднее ар: 23576, медиана: 18595, макс: 52133, мин: 17100, ниж.квант: 17695, верх.квант: 25108
8250: Среднее ар: 23811, медиана: 19027, макс: 49801, мин: 18170, ниж.квант: 18210, верх.квант: 25372
8500: Среднее ар: 26724, медиана: 19875, макс: 50707, мин: 19266, ниж.квант: 19311, верх.квант: 27724
8750: Среднее ар: 29169, медиана: 21794, макс: 53928, мин: 20410, ниж.квант: 20589, верх.квант: 33840
9000: Среднее ар: 34040, медиана: 26329, макс: 53242, мин: 21572, ниж.квант: 21631, верх.квант: 49476
9250: Среднее ар: 32020, медиана: 24593, макс: 59680, мин: 22779, ниж.квант: 23164, верх.квант: 40666
9500: Среднее ар: 30989, медиана: 25304, макс: 58126, мин: 24000, ниж.квант: 24180, верх.квант: 34782
9750: Среднее ар: 31215, медиана: 26097, макс: 56467, мин: 25254, ниж.квант: 25272, верх.квант: 35203
10000: Среднее ар: 37218, медиана: 29353, макс: 59218, мин: 26560, ниж.квант: 26716, верх.квант: 54419
