1: Среднее ар: 0, медиана: 0, макс: 1, мин: 0, ниж.квант: 0, верх.квант: 0
250: Среднее ар: 54, медиана: 48, макс: 185, мин: 19, ниж.квант: 47, верх.квант: 63
500: Среднее ар: 178, медиана: 188, макс: 323, мин: 68, ниж.квант: 172, верх.квант: 193
750: Среднее ар: 366, медиана: 393, макс: 601, мин: 150, ниж.квант: 376, верх.квант: 424
1000: Среднее ар: 295, медиана: 264, макс: 788, мин: 263, ниж.квант: 263, верх.квант: 270
1250: Среднее ар: 558, медиана: 415, макс: 1250, мин: 408, ниж.квант: 409, верх.квант: 429
1500: Среднее ар: 690, медиана: 592, макс: 1769, мин: 586, ниж.квант: 587, верх.квант: 594
1750: Среднее ар: 951, медиана: 803, макс: 3264, мин: 796, ниж.квант: 797, верх.квант: 809
2000: Среднее ар: 1231, медиана: 1045, макс: 3490, мин: 1038, ниж.квант: 1039, верх.квант: 1064
2250: Среднее ар: 2376, медиана: 1581, макс: 4552, мин: 1313, ниж.квант: 1318, верх.квант: 3360
2500: Среднее ар: 4250, медиана: 4123, макс: 8526, мин: 1620, ниж.квант: 4098, верх.квант: 4598
2750: Среднее ар: 4955, медиана: 4973, макс: 7505, мин: 1978, ниж.квант: 4940, верх.квант: 5003
3000: Среднее ар: 5822, медиана: 5893, макс: 7960, мин: 2334, ниж.квант: 5869, верх.квант: 5923
3250: Среднее ар: 7025, медиана: 6923, макс: 8837, мин: 2927, ниж.квант: 6900, верх.квант: 7153
3500: Среднее ар: 8037, медиана: 8057, макс: 11515, мин: 3172, ниж.квант: 8015, верх.квант: 8185
3750: Среднее ар: 9221, медиана: 9202, макс: 12312, мин: 3667, ниж.квант: 9178, верх.квант: 9566
4000: Среднее ар: 10707, медиана: 10465, макс: 16183, мин: 4187, ниж.квант: 10437, верх.квант: 10674
4250: Среднее ар: 11693, медиана: 11858, макс: 14661, мин: 4754, ниж.квант: 11801, верх.квант: 11985
4500: Среднее ар: 13226, медиана: 13210, макс: 17662, мин: 5355, ниж.квант: 13191, верх.квант: 13323
4750: Среднее ар: 14216, медиана: 14730, макс: 18949, мин: 5975, ниж.квант: 14687, верх.квант: 15437
5000: Среднее ар: 11588, медиана: 9018, макс: 20796, мин: 6578, ниж.квант: 9005, верх.квант: 16272
5250: Среднее ар: 18208, медиана: 18086, макс: 23145, мин: 7239, ниж.квант: 17940, верх.квант: 19326
5500: Среднее ар: 19700, медиана: 19725, макс: 27508, мин: 7998, ниж.квант: 19676, верх.квант: 20192
5750: Среднее ар: 21401, медиана: 21580, макс: 27919, мин: 8759, ниж.квант: 21510, верх.квант: 22040
6000: Среднее ар: 22900, медиана: 23478, макс: 31059, мин: 9420, ниж.квант: 23408, верх.квант: 24285
6250: Среднее ар: 24562, медиана: 25506, макс: 32314, мин: 10238, ниж.квант: 25399, верх.квант: 26739
6500: Среднее ар: 27029, медиана: 27583, макс: 35168, мин: 11181, ниж.квант: 27473, верх.квант: 28859
6750: Среднее ар: 29083, медиана: 29746, макс: 40656, мин: 11915, ниж.квант: 29610, верх.квант: 31004
7000: Среднее ар: 30780, медиана: 31958, макс: 38735, мин: 12736, ниж.квант: 31827, верх.квант: 33304
7250: Среднее ар: 25476, медиана: 34111, макс: 42525, мин: 13548, ниж.квант: 13583, верх.квант: 34299
7500: Среднее ар: 31020, медиана: 36534, макс: 47176, мин: 14508, ниж.квант: 20247, верх.квант: 39518
7750: Среднее ар: 33792, медиана: 39015, макс: 47008, мин: 15505, ниж.квант: 21855, верх.квант: 39217
8000: Среднее ар: 25265, медиана: 17923, макс: 48422, мин: 16492, ниж.квант: 16516, верх.квант: 41255
8250: Среднее ар: 25381, медиана: 18922, макс: 50726, мин: 17540, ниж.квант: 17605, верх.квант: 28559
8500: Среднее ар: 24318, медиана: 18774, макс: 53677, мин: 18615, ниж.квант: 18639, верх.квант: 24149
8750: Среднее ар: 24991, медиана: 19825, макс: 51976, мин: 19730, ниж.квант: 19752, верх.квант: 23095
9000: Среднее ар: 31704, медиана: 23573, макс: 52856, мин: 20872, ниж.квант: 20932, верх.квант: 48962
9250: Среднее ар: 29941, медиана: 22949, макс: 57647, мин: 22046, ниж.квант: 22084, верх.квант: 34284
9500: Среднее ар: 33328, медиана: 25960, макс: 54531, мин: 23250, ниж.квант: 23275, верх.квант: 50739
9750: Среднее ар: 33462, медиана: 25886, макс: 59245, мин: 24494, ниж.квант: 24569, верх.квант: 48047
10000: Среднее ар: 31216, медиана: 26192, макс: 59811, мин: 25764, ниж.квант: 25859, верх.квант: 27727
