1: Среднее ар: 0, медиана: 0, макс: 1, мин: 0, ниж.квант: 0, верх.квант: 1
250: Среднее ар: 184, медиана: 189, макс: 214, мин: 75, ниж.квант: 188, верх.квант: 189
500: Среднее ар: 456, медиана: 281, макс: 852, мин: 280, ниж.квант: 281, верх.квант: 702
750: Среднее ар: 681, медиана: 615, макс: 1759, мин: 615, ниж.квант: 615, верх.квант: 616
1000: Среднее ар: 2190, медиана: 2700, макс: 3104, мин: 1075, ниж.квант: 1083, верх.квант: 2751
1250: Среднее ар: 3886, медиана: 4211, макс: 5069, мин: 1669, ниж.квант: 4187, верх.квант: 4214
1500: Среднее ар: 5528, медиана: 6013, макс: 6798, мин: 2384, ниж.квант: 6007, верх.квант: 6040
1750: Среднее ар: 7543, медиана: 8160, макс: 9176, мин: 3235, ниж.квант: 8141, верх.квант: 8172
2000: Среднее ар: 10121, медиана: 10611, макс: 12059, мин: 4208, ниж.квант: 10590, верх.квант: 10621
2250: Среднее ар: 13193, медиана: 13394, макс: 16301, мин: 5345, ниж.квант: 13380, верх.квант: 13412
2500: Среднее ар: 15887, медиана: 16495, макс: 19327, мин: 6555, ниж.квант: 16476, верх.квант: 16508
2750: Среднее ар: 19323, медиана: 19912, макс: 23161, мин: 8115, ниж.квант: 19894, верх.квант: 19925
3000: Среднее ар: 22374, медиана: 23654, макс: 27305, мин: 9424, ниж.квант: 23635, верх.квант: 23667
3250: Среднее ар: 25793, медиана: 27721, макс: 32392, мин: 11079, ниж.квант: 27698, верх.квант: 27739
3500: Среднее ар: 30105, медиана: 32089, макс: 37877, мин: 12808, ниж.квант: 32062, верх.квант: 32106
3750: Среднее ар: 35002, медиана: 36772, макс: 43446, мин: 14634, ниж.квант: 36749, верх.квант: 36788
4000: Среднее ар: 33856, медиана: 41815, макс: 47558, мин: 16606, ниж.квант: 17173, верх.квант: 41837
4250: Среднее ар: 22708, медиана: 18737, макс: 50178, мин: 18716, ниж.квант: 18729, верх.квант: 18819
4500: Среднее ар: 29337, медиана: 20998, макс: 52572, мин: 20970, ниж.квант: 20985, верх.квант: 48895
4750: Среднее ар: 27383, медиана: 23385, макс: 54207, мин: 23359, ниж.квант: 23371, верх.квант: 23518
5000: Среднее ар: 35408, медиана: 25895, макс: 57771, мин: 25861, ниж.квант: 25876, верх.квант: 53029
5250: Среднее ар: 33571, медиана: 28518, макс: 60002, мин: 28499, ниж.квант: 28512, верх.квант: 28732
5500: Среднее ар: 35804, медиана: 31283, макс: 62300, мин: 31263, ниж.квант: 31275, верх.квант: 31359
5750: Среднее ар: 36638, медиана: 34173, макс: 65258, мин: 34154, ниж.квант: 34165, верх.квант: 34202
6000: Среднее ар: 40864, медиана: 37191, макс: 68855, мин: 37172, ниж.квант: 37181, верх.квант: 37300
6250: Среднее ар: 41770, медиана: 40334, макс: 70818, мин: 40318, ниж.квант: 40328, верх.квант: 40347
6500: Среднее ар: 47224, медиана: 43617, макс: 74811, мин: 43599, ниж.квант: 43610, верх.квант: 43652
6750: Среднее ар: 51727, медиана: 47014, макс: 78130, мин: 46991, ниж.квант: 47005, верх.квант: 47100
7000: Среднее ар: 51478, медиана: 50556, макс: 79552, мин: 50521, ниж.квант: 50540, верх.квант: 50576
7250: Среднее ар: 57040, медиана: 54216, макс: 84447, мин: 54178, ниж.квант: 54197, верх.квант: 54269
7500: Среднее ар: 59123, медиана: 57975, макс: 86879, мин: 57957, ниж.квант: 57968, верх.квант: 57993
7750: Среднее ар: 73015, медиана: 61955, макс: 92994, мин: 61873, ниж.квант: 61897, верх.квант: 90896
8000: Среднее ар: 71238, медиана: 65948, макс: 120344, мин: 65915, ниж.квант: 65927, верх.квант: 66074
8250: Среднее ар: 72717, медиана: 70107, макс: 100462, мин: 70070, ниж.квант: 70092, верх.квант: 70132
8500: Среднее ар: 75224, медиана: 74412, макс: 101900, мин: 74369, ниж.квант: 74399, верх.квант: 74423
8750: Среднее ар: 82622, медиана: 78824, макс: 109778, мин: 78795, ниж.квант: 78811, верх.квант: 78857
9000: Среднее ар: 84965, медиана: 83378, макс: 114300, мин: 83351, ниж.квант: 83364, верх.квант: 83399
9250: Среднее ар: 102021, медиана: 89474, макс: 118473, мин: 88025, ниж.квант: 88070, верх.квант: 116884
9500: Среднее ар: 105411, медиана: 92967, макс: 127917, мин: 92837, ниж.квант: 92863, верх.квант: 121129
9750: Среднее ар: 114289, медиана: 124869, макс: 127123, мин: 97755, ниж.квант: 97842, верх.квант: 125349
10000: Среднее ар: 123910, медиана: 130524, макс: 134981, мин: 102822, ниж.квант: 115340, верх.квант: 131822
