1: Среднее ар: 0, медиана: 0, макс: 1, мин: 0, ниж.квант: 0, верх.квант: 1
250: Среднее ар: 161, медиана: 170, макс: 192, мин: 67, ниж.квант: 170, верх.квант: 171
500: Среднее ар: 282, медиана: 263, макс: 745, мин: 262, ниж.квант: 263, верх.квант: 263
750: Среднее ар: 637, медиана: 586, макс: 1658, мин: 585, ниж.квант: 586, верх.квант: 591
1000: Среднее ар: 2440, медиана: 2618, макс: 2949, мин: 1036, ниж.квант: 2605, верх.квант: 2623
1250: Среднее ар: 3753, медиана: 4076, макс: 4336, мин: 1614, ниж.квант: 4072, верх.квант: 4088
1500: Среднее ар: 5536, медиана: 5854, макс: 6156, мин: 2322, ниж.квант: 5848, верх.квант: 5879
1750: Среднее ар: 7358, медиана: 7967, макс: 8229, мин: 3159, ниж.квант: 7950, верх.квант: 7973
2000: Среднее ар: 9427, медиана: 10387, макс: 10907, мин: 4118, ниж.квант: 10369, верх.квант: 10393
2250: Среднее ар: 11944, медиана: 13122, макс: 14775, мин: 5207, ниж.квант: 13107, верх.квант: 13140
2500: Среднее ар: 15563, медиана: 16193, макс: 18938, мин: 6427, ниж.квант: 16176, верх.квант: 16211
2750: Среднее ар: 18487, медиана: 19578, макс: 22278, мин: 7777, ниж.квант: 19560, верх.квант: 19589
3000: Среднее ар: 21753, медиана: 23285, макс: 28121, мин: 9238, ниж.квант: 23262, верх.квант: 23301
3250: Среднее ар: 26444, медиана: 27310, макс: 31328, мин: 10866, ниж.квант: 27293, верх.квант: 27330
3500: Среднее ар: 30633, медиана: 31652, макс: 36004, мин: 12579, ниж.квант: 31635, верх.квант: 31670
3750: Среднее ар: 28059, медиана: 36294, макс: 49768, мин: 14419, ниж.квант: 14643, верх.квант: 36341
4000: Среднее ар: 36905, медиана: 41309, макс: 46481, мин: 16400, ниж.квант: 41278, верх.квант: 41350
4250: Среднее ар: 25332, медиана: 18547, макс: 51299, мин: 18508, ниж.квант: 18524, верх.квант: 25811
4500: Среднее ар: 28372, медиана: 20940, макс: 52712, мин: 20747, ниж.квант: 20761, верх.квант: 33735
4750: Среднее ар: 25658, медиана: 23130, макс: 54370, мин: 23116, ниж.квант: 23125, верх.квант: 23201
5000: Среднее ар: 29672, медиана: 25634, макс: 56189, мин: 25608, ниж.квант: 25621, верх.квант: 25964
5250: Среднее ар: 30408, медиана: 28248, макс: 59454, мин: 28228, ниж.квант: 28239, верх.квант: 28327
5500: Среднее ар: 35584, медиана: 30995, макс: 61546, мин: 30973, ниж.квант: 30987, верх.квант: 31546
5750: Среднее ар: 35690, медиана: 33872, макс: 64729, мин: 33859, ниж.квант: 33866, верх.квант: 33890
6000: Среднее ар: 41758, медиана: 36883, макс: 68041, мин: 36861, ниж.квант: 36871, верх.квант: 38821
6250: Среднее ар: 44303, медиана: 40021, макс: 70390, мин: 39992, ниж.квант: 40008, верх.квант: 40415
6500: Среднее ар: 45824, медиана: 43267, макс: 74259, мин: 43246, ниж.квант: 43260, верх.квант: 43302
6750: Среднее ар: 49069, медиана: 46659, макс: 77648, мин: 46634, ниж.квант: 46651, верх.квант: 46696
7000: Среднее ар: 53737, медиана: 50178, макс: 81535, мин: 50150, ниж.квант: 50167, верх.квант: 50223
7250: Среднее ар: 55061, медиана: 53806, макс: 84363, мин: 53783, ниж.квант: 53795, верх.квант: 53852
7500: Среднее ар: 60285, медиана: 57568, макс: 99393, мин: 57552, ниж.квант: 57562, верх.квант: 57592
7750: Среднее ар: 63409, медиана: 61461, макс: 91420, мин: 61446, ниж.квант: 61456, верх.квант: 61472
8000: Среднее ар: 67272, медиана: 65490, макс: 95796, мин: 65473, ниж.квант: 65483, верх.квант: 65512
8250: Среднее ар: 70615, медиана: 69640, макс: 100557, мин: 69624, ниж.квант: 69633, верх.квант: 69657
8500: Среднее ар: 80834, медиана: 73939, макс: 110782, мин: 73902, ниж.квант: 73916, верх.квант: 77996
8750: Среднее ар: 92625, медиана: 91823, макс: 116488, мин: 78304, ниж.квант: 78337, верх.квант: 106539
9000: Среднее ар: 96715, медиана: 88541, макс: 113600, мин: 82846, ниж.квант: 82871, верх.квант: 110993
9250: Среднее ар: 105589, медиана: 115580, макс: 118244, мин: 87516, ниж.квант: 87746, верх.квант: 116389
9500: Среднее ар: 112890, медиана: 120814, макс: 135676, мин: 92297, ниж.квант: 93703, верх.квант: 121526
9750: Среднее ар: 114246, медиана: 124628, макс: 131605, мин: 97220, ниж.квант: 97337, верх.квант: 125283
10000: Среднее ар: 119653, медиана: 124614, макс: 133326, мин: 102243, ниж.квант: 103622, верх.квант: 130987
